Subject,Set,Trial,TOD,StartTr,RT,LRT,RRT,DRT,Standard,Variable,Choice,Group,LftText,RgtText
101651.2      08-10-2010    15:24:52,SetA
101651.2,SetA, 1 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 4 , 0 , 0 ,"$10 now"," $8.50 now"
101651.2,SetA, 2 ,55050.160,55050.160,0.109,  0.000,  12.187,  14.109,   4 , 6 , 2 , 0 ," $7.50 now","$10 in 180 days"
101651.2,SetA, 3 ,55064.660,55064.660,-0.001,  0.000,  7.031,  8.765,   4 , 18 , 2 , 0 ," $1.50 now","$10 in 180 days"
101651.2,SetA, 4 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 17 , 0 , 0 ,"$10 now"," $2.00 now"
101651.2,SetA, 5 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 11 , 0 , 0 ,"$10 now"," $5.00 now"
101651.2,SetA, 6 ,55073.820,55073.820,0.109,  0.000,  3.922,  6.250,   0 , 2 , 2 , 0 ,"$10 now"," $9.50 now"
101651.2,SetA, 7 ,55080.460,55080.460,0.109,  0.000,  4.656,  6.531,   4 , 15 , 2 , 0 ," $3.00 now","$10 in 180 days"
101651.2,SetA, 8 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 20 , 0 , 0 ,"$10 in 365 days"," $0.50 now"
101651.2,SetA, 9 ,55087.380,55087.380,-0.001,  0.000,  5.874,  7.874,   3 , 6 , 2 , 0 ," $7.50 now","$10 in 90 days"
101651.2,SetA, 10 ,55095.650,55095.650,0.000,  0.000,  2.875,  4.281,   1 , 10 , 2 , 0 ," $5.50 now","$10 in 7 days"
101651.2,SetA, 11 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 6 , 0 , 0 ," $7.50 now","$10 in 365 days"
101651.2,SetA, 12 ,55100.320,55100.320,0.109,  10.235,  0.000,  12.203,   2 , 1 , 1 , 0 ," $10.00 now","$10 in 30 days"
101651.2,SetA, 13 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 17 , 0 , 0 ,"$10 in 365 days"," $2.00 now"
101651.2,SetA, 14 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   4 , 21 , 0 , 0 ,"$10 in 180 days"," $0.25 now"
101651.2,SetA, 15 ,55112.910,55112.910,0.109,  0.000,  2.937,  5.047,   2 , 6 , 2 , 0 ," $7.50 now","$10 in 30 days"
101651.2,SetA, 16 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 9 , 0 , 0 ,"$10 now"," $6.00 now"
101651.2,SetA, 17 ,55118.350,55118.350,0.109,  0.000,  3.343,  5.000,   4 , 7 , 2 , 0 ," $7.00 now","$10 in 180 days"
101651.2,SetA, 18 ,55123.740,55123.740,0.078,  2.688,  0.000,  4.203,   3 , 13 , 1 , 0 ,"$10 in 90 days"," $4.00 now"
101651.2,SetA, 19 ,55128.340,55128.340,0.109,  2.578,  0.000,  4.078,   3 , 4 , 1 , 0 ,"$10 in 90 days"," $8.50 now"
101651.2,SetA, 20 ,55132.800,55132.800,0.000,  5.469,  3.312,  6.969,   1 , 2 , 1 , 0 ,"$10 in 7 days"," $9.50 now"
101651.2,SetA, 21 ,55140.160,55140.160,0.110,  2.703,  0.000,  4.219,   4 , 9 , 1 , 0 ,"$10 in 180 days"," $6.00 now"
101651.2,SetA, 22 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 19 , 0 , 0 ,"$10 now"," $1.00 now"
101651.2,SetA, 23 ,55144.770,55144.770,0.110,  0.000,  10.548,  11.673,   1 , 6 , 2 , 0 ," $7.50 now","$10 in 7 days"
101651.2,SetA, 24 ,55156.840,55156.840,0.063,  2.954,  0.000,  4.375,   2 , 19 , 1 , 0 ,"$10 in 30 days"," $1.00 now"
101651.2,SetA, 25 ,55161.600,55161.600,0.000,  3.922,  0.000,  5.188,   2 , 5 , 1 , 0 ," $8.00 now","$10 in 30 days"
101651.2,SetA, 26 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 19 , 0 , 0 ,"$10 in 365 days"," $1.00 now"
101651.2,SetA, 27 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 21 , 0 , 0 ,"$10 in 365 days"," $0.25 now"
101651.2,SetA, 28 ,55167.180,55167.180,0.110,  2.188,  0.000,  3.422,   4 , 3 , 1 , 0 ,"$10 in 180 days"," $9.00 now"
101651.2,SetA, 29 ,55170.990,55170.990,0.016,  0.000,  7.126,  8.548,   1 , 8 , 2 , 0 ," $6.50 now","$10 in 7 days"
101651.2,SetA, 30 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 14 , 0 , 0 ,"$10 now"," $3.50 now"
101651.2,SetA, 31 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 15 , 0 , 0 ," $3.00 now","$10 in 365 days"
101651.2,SetA, 32 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 7 , 0 , 0 ," $7.00 now","$10 in 365 days"
101651.2,SetA, 33 ,55179.930,55179.930,0.110,  0.000,  7.344,  9.110,   3 , 16 , 2 , 0 ," $2.50 now","$10 in 90 days"
101651.2,SetA, 34 ,55189.430,55189.430,0.110,  3.954,  0.000,  5.672,   2 , 12 , 1 , 0 ,"$10 in 30 days"," $4.50 now"
101651.2,SetA, 35 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 3 , 0 , 0 ,"$10 in 365 days"," $9.00 now"
101651.2,SetA, 36 ,55195.490,55195.490,0.110,  4.126,  0.000,  5.954,   3 , 2 , 1 , 0 ,"$10 in 90 days"," $9.50 now"
101651.2,SetA, 37 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 12 , 0 , 0 ,"$10 now"," $4.50 now"
101651.2,SetA, 38 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 20 , 0 , 0 ,"$10 now"," $0.50 now"
101651.2,SetA, 39 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 1 , 0 , 0 ," $10.00 now","$10 in 365 days"
101651.2,SetA, 40 ,55201.840,55201.840,0.001,  0.000,  3.063,  4.610,   1 , 0 , 2 , 0 ,"$10 in 7 days"," $10.50 now"
101651.2,SetA, 41 ,55206.840,55206.840,0.001,  2.470,  0.000,  4.048,   2 , 14 , 1 , 0 ,"$10 in 30 days"," $3.50 now"
101651.2,SetA, 42 ,55211.270,55211.270,0.002,  0.000,  3.205,  6.033,   0 , 0 , 2 , 0 ,"$10 now"," $10.50 now"
101651.2,SetA, 43 ,55217.700,55217.700,0.111,  7.767,  0.000,  9.502,   4 , 20 , 1 , 0 ,"$10 in 180 days"," $0.50 now"
101651.2,SetA, 44 ,55227.590,55227.590,0.111,  0.000,  3.908,  5.783,   4 , 22 , 2 , 0 ," $0.00 now","$10 in 180 days"
101651.2,SetA, 45 ,55233.760,55233.760,0.111,  1.845,  0.000,  3.158,   1 , 20 , 1 , 0 ,"$10 in 7 days"," $0.50 now"
101651.2,SetA, 46 ,55237.300,55237.300,0.111,  2.532,  0.000,  3.720,   4 , 2 , 1 , 0 ,"$10 in 180 days"," $9.50 now"
101651.2,SetA, 47 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 21 , 0 , 0 ,"$10 now"," $0.25 now"
101651.2,SetA, 48 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 9 , 0 , 0 ,"$10 in 365 days"," $6.00 now"
101651.2,SetA, 49 ,55241.410,55241.410,0.002,  1.923,  0.000,  3.423,   3 , 1 , 1 , 0 ," $10.00 now","$10 in 90 days"
101651.2,SetA, 50 ,55245.230,55245.230,0.111,  1.407,  0.000,  2.892,   3 , 9 , 1 , 0 ,"$10 in 90 days"," $6.00 now"
101651.2,SetA, 51 ,55248.510,55248.510,0.111,  1.283,  0.000,  2.486,   4 , 19 , 1 , 0 ,"$10 in 180 days"," $1.00 now"
101651.2,SetA, 52 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 10 , 0 , 0 ," $5.50 now","$10 in 365 days"
101651.2,SetA, 53 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 13 , 0 , 0 ,"$10 now"," $4.00 now"
101651.2,SetA, 54 ,55251.380,55251.380,0.111,  1.689,  0.000,  2.908,   3 , 17 , 1 , 0 ,"$10 in 90 days"," $2.00 now"
101651.2,SetA, 55 ,55254.680,55254.680,0.001,  1.955,  0.000,  3.095,   4 , 14 , 1 , 0 ,"$10 in 180 days"," $3.50 now"
101651.2,SetA, 56 ,55258.160,55258.160,0.111,  0.000,  3.314,  5.002,   3 , 18 , 2 , 0 ," $1.50 now","$10 in 90 days"
101651.2,SetA, 57 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 5 , 0 , 0 ," $8.00 now","$10 in 365 days"
101651.2,SetA, 58 ,55263.550,55263.550,0.001,  0.000,  2.080,  3.158,   2 , 10 , 2 , 0 ," $5.50 now","$10 in 30 days"
101651.2,SetA, 59 ,55267.100,55267.100,0.111,  0.000,  1.830,  3.173,   1 , 15 , 2 , 0 ," $3.00 now","$10 in 7 days"
101651.2,SetA, 60 ,55270.660,55270.660,0.111,  3.158,  1.580,  4.486,   2 , 3 , 1 , 0 ,"$10 in 30 days"," $9.00 now"
101651.2,SetA, 61 ,55275.540,55275.540,0.111,  0.000,  4.940,  6.361,   1 , 16 , 2 , 0 ," $2.50 now","$10 in 7 days"
101651.2,SetA, 62 ,55282.290,55282.290,0.002,  0.000,  1.565,  2.799,   4 , 8 , 2 , 0 ," $6.50 now","$10 in 180 days"
101651.2,SetA, 63 ,55285.480,55285.480,-0.001,  2.014,  0.000,  3.092,   0 , 3 , 1 , 0 ,"$10 now"," $9.00 now"
101651.2,SetA, 64 ,55288.960,55288.960,0.107,  3.857,  0.000,  5.561,   1 , 4 , 1 , 0 ,"$10 in 7 days"," $8.50 now"
101651.2,SetA, 65 ,55294.910,55294.910,0.002,  2.659,  0.000,  3.924,   1 , 14 , 1 , 0 ,"$10 in 7 days"," $3.50 now"
101651.2,SetA, 66 ,55299.230,55299.230,0.014,  0.000,  1.202,  3.468,   4 , 0 , 2 , 0 ,"$10 in 180 days"," $10.50 now"
101651.2,SetA, 67 ,55303.090,55303.090,-0.002,  1.561,  0.000,  2.405,   1 , 11 , 1 , 0 ,"$10 in 7 days"," $5.00 now"
101651.2,SetA, 68 ,55305.890,55305.890,0.076,  4.920,  1.514,  7.967,   1 , 1 , 1 , 0 ," $10.00 now","$10 in 7 days"
