6666,09-09-2010,17:19:02,SetA
Question# ,     Choice
 1 ," $9.00 now"
 2 ,"$10 in 180 days"
 3 ," $8.50 now"
 4 ," $6.00 now"
 5 ,"$10 in 90 days"
 6 ,"$10 in 30 days"
 7 ," $9.50 now"
 8 ," $4.00 now"
 9 ," $10.00 now"
 10 ,"$10 in 30 days"
 11 ," $0.25 now"
 12 ,"$10 in 365 days"
 13 ," $4.00 now"
 14 ,"$10 in 7 days"
 15 ,"$10 in 365 days"
 16 ," $0.50 now"
 17 ," $0.25 now"
 18 ," $7.00 now"
 19 ," $10.50 now"
 20 ,"$10 in 365 days"
 21 ," $9.00 now"
 22 ,"$10 in 7 days"
 23 ," $0.25 now"
 24 ," $0.00 now"
 25 ," $10.00 now"
 26 ," $5.00 now"
 27 ,"$10 in 365 days"
 28 ," $9.50 now"
 29 ," $7.50 now"
 30 ," $7.50 now"
 31 ,"$10 in 30 days"
 32 ,"$10 now"
 33 ," $9.50 now"
 34 ,"$10 in 90 days"
 35 ,"$10 in 180 days"
 36 ," $10.00 now"
 37 ," $3.50 now"
 38 ," $0.25 now"
 39 ,"$10 in 180 days"
 40 ," $1.50 now"
 41 ,"$10 in 7 days"
 42 ,"$10 in 365 days"
 43 ," $7.50 now"
 44 ,"$10 in 180 days"
 45 ," $4.50 now"
 46 ," $0.00 now"
 47 ," $7.00 now"
 48 ,"$10 in 7 days"
 49 ," $10.50 now"
 50 ,"$10 in 90 days"
 51 ,"$10 in 7 days"
 52 ," $9.00 now"
 53 ,"$10 in 90 days"
 54 ,"$10 in 180 days"
 55 ," $6.00 now"
 56 ," $8.00 now"
 57 ,"$10 in 365 days"
 58 ,"$10 in 365 days"
 59 ," $8.50 now"
 60 ," $9.50 now"
 61 ,"$10 in 180 days"
 62 ,"$10 in 30 days"
 63 ," $9.00 now"
 64 ,"$10 now"
 65 ," $0.50 now"
 66 ," $8.50 now"
 67 ,"$10 in 30 days"
 68 ,"$10 in 90 days"
 69 ," $7.00 now"
 70 ,"$10 in 90 days"
 71 ,"$10 in 365 days"
 72 ,"$10 in 7 days"
 73 ," $10.50 now"
 74 ," $8.00 now"
 75 ,"$10 in 365 days"
 76 ,"$10 in 30 days"
 77 ,"$10 now"
 78 ," $6.50 now"
 79 ," $4.50 now"
 80 ," $10.50 now"
 81 ," $8.00 now"
 82 ," $4.00 now"
 83 ,"$10 in 365 days"
 84 ,"$10 in 90 days"
 85 ," $7.50 now"
 86 ," $9.00 now"
 87 ,"$10 now"
 88 ," $5.50 now"
 89 ,"$10 in 365 days"
 90 ,"$10 in 90 days"
 91 ," $3.50 now"
 92 ,"$10 in 7 days"
 93 ,"$10 in 180 days"
 94 ,"$10 now"
 95 ," $1.50 now"
 96 ,"$10 in 30 days"
 97 ,"$10 in 365 days"
 98 ," $10.50 now"
 99 ,"$10 in 30 days"
 100 ," $6.50 now"
 101 ,"$10 in 7 days"
 102 ,"$10 in 7 days"
 103 ," $0.25 now"
 104 ,"$10 in 7 days"
 105 ," $6.50 now"
 106 ," $6.50 now"
 107 ," $8.00 now"
 108 ," $6.00 now"
 109 ,"$10 in 90 days"
 110 ,"$10 in 30 days"
 111 ," $5.50 now"
 112 ,"$10 now"
 113 ," $8.50 now"
 114 ,"$10 in 7 days"
 115 ,"$10 now"
 116 ," $5.50 now"
 117 ,"$10 in 180 days"
 118 ,"$10 now"
 119 ,"$10 in 30 days"
 120 ," $9.50 now"
 121 ," $0.25 now"
 122 ,"$10 in 90 days"
 123 ,"$10 now"
 124 ,"$10 in 30 days"
 125 ,"$10 now"
 126 ,"$10 in 90 days"
 127 ,"$10 now"
 128 ,"$10 in 7 days"
 129 ," $7.50 now"
 130 ," $4.50 now"
 131 ,"$10 now"
 132 ," $7.50 now"
 133 ,"$10 in 7 days"
 134 ,"$10 now"
 135 ," $10.00 now"
 136 ,"$10 in 30 days"
 137 ,"$10 in 365 days"
 138 ,"$10 now"
6666,09-10-2010,14:33:29,SetA
Question# ,     Choice
 1 ,"$10 in 365 days"
 2 ,"$10 in 90 days"
 3 ,"$10 in 7 days"
 4 ," $9.00 now"
 5 ,"$10 in 180 days"
 6 ,"$10 in 180 days"
