Subject,Set,Trial,TOD,StartTr,RT,LRT,RRT,DRT,Standard,Variable,Choice,Group,LftText,RgtText
6666          09-09-2010    17:19:02,SetA
6666,SetA, 1 ,62114.930,0.000,0.000,  0.000,  1.079,  1.657,   4 , 3 , 2 , 0 ,"$10 in 180 days"," $9.00 now"
6666,SetA, 2 ,62116.980,2.047,0.079,  0.000,  0.750,  1.250,   4 , 17 , 2 , 0 ," $2.00 now","$10 in 180 days"
6666,SetA, 3 ,62118.620,3.688,0.110,  1.095,  0.000,  1.626,   2 , 4 , 1 , 0 ," $8.50 now","$10 in 30 days"
6666,SetA, 4 ,62120.630,5.703,0.110,  1.220,  0.000,  1.813,   3 , 9 , 1 , 0 ," $6.00 now","$10 in 90 days"
6666,SetA, 5 ,62122.840,7.906,0.110,  0.000,  1.720,  2.251,   3 , 19 , 2 , 0 ," $1.00 now","$10 in 90 days"
6666,SetA, 6 ,62125.480,10.547,0.001,  0.000,  1.063,  1.938,   2 , 17 , 2 , 0 ," $2.00 now","$10 in 30 days"
6666,SetA, 7 ,62127.800,12.875,0.110,  0.000,  1.610,  2.204,   4 , 2 , 2 , 0 ,"$10 in 180 days"," $9.50 now"
6666,SetA, 8 ,62130.400,15.469,0.111,  0.000,  4.486,  5.174,   4 , 13 , 2 , 0 ,"$10 in 180 days"," $4.00 now"
6666,SetA, 9 ,62135.960,21.031,0.111,  1.673,  0.000,  2.173,   4 , 1 , 1 , 0 ," $10.00 now","$10 in 180 days"
6666,SetA, 10 ,62138.520,23.594,0.111,  1.736,  0.000,  2.346,   2 , 12 , 1 , 0 ,"$10 in 30 days"," $4.50 now"
6666,SetA, 11 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   1 , 21 , 0 , 0 ,"$10 in 7 days"," $0.25 now"
6666,SetA, 12 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 16 , 0 , 0 ," $2.50 now","$10 in 365 days"
6666,SetA, 13 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 13 , 0 , 0 ,"$10 now"," $4.00 now"
6666,SetA, 14 ,62141.260,26.328,0.111,  0.000,  1.673,  2.408,   1 , 19 , 2 , 0 ," $1.00 now","$10 in 7 days"
6666,SetA, 15 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 1 , 0 , 0 ," $10.00 now","$10 in 365 days"
6666,SetA, 16 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 20 , 0 , 0 ,"$10 now"," $0.50 now"
6666,SetA, 17 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 21 , 0 , 0 ,"$10 now"," $0.25 now"
6666,SetA, 18 ,62144.050,29.125,0.064,  1.658,  0.000,  2.189,   2 , 7 , 1 , 0 ," $7.00 now","$10 in 30 days"
6666,SetA, 19 ,62146.640,31.707,-0.002,  1.170,  0.000,  1.873,   3 , 0 , 1 , 0 ," $10.50 now","$10 in 90 days"
6666,SetA, 20 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 4 , 0 , 0 ," $8.50 now","$10 in 365 days"
6666,SetA, 21 ,62148.900,33.969,0.112,  0.000,  1.018,  2.002,   2 , 3 , 2 , 0 ,"$10 in 30 days"," $9.00 now"
6666,SetA, 22 ,62151.290,36.359,0.111,  0.846,  0.000,  1.393,   1 , 22 , 1 , 0 ,"$10 in 7 days"," $0.00 now"
6666,SetA, 23 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 21 , 0 , 0 ,"$10 in 365 days"," $0.25 now"
6666,SetA, 24 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 22 , 0 , 0 ,"$10 in 365 days"," $0.00 now"
6666,SetA, 25 ,62153.070,38.141,0.112,  1.096,  0.000,  1.924,   3 , 1 , 1 , 0 ," $10.00 now","$10 in 90 days"
6666,SetA, 26 ,62155.390,40.457,0.107,  1.389,  0.000,  2.045,   4 , 11 , 1 , 0 ," $5.00 now","$10 in 180 days"
6666,SetA, 27 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 9 , 0 , 0 ," $6.00 now","$10 in 365 days"
6666,SetA, 28 ,62157.820,42.891,0.112,  0.000,  1.393,  1.909,   3 , 2 , 2 , 0 ,"$10 in 90 days"," $9.50 now"
6666,SetA, 29 ,62160.120,45.188,0.112,  0.000,  1.674,  2.190,   3 , 6 , 2 , 0 ,"$10 in 90 days"," $7.50 now"
6666,SetA, 30 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 6 , 0 , 0 ,"$10 now"," $7.50 now"
6666,SetA, 31 ,62162.700,47.770,0.108,  0.827,  0.000,  1.374,   2 , 22 , 1 , 0 ,"$10 in 30 days"," $0.00 now"
6666,SetA, 32 ,62164.460,49.535,0.108,  1.123,  0.000,  1.577,   0 , 3 , 1 , 0 ,"$10 now"," $9.00 now"
6666,SetA, 33 ,62166.430,51.504,0.108,  0.000,  1.342,  1.951,   1 , 2 , 2 , 0 ,"$10 in 7 days"," $9.50 now"
6666,SetA, 34 ,62168.780,53.848,0.108,  2.515,  0.000,  2.999,   3 , 13 , 1 , 0 ,"$10 in 90 days"," $4.00 now"
6666,SetA, 35 ,62172.170,57.238,0.108,  0.000,  3.421,  4.171,   4 , 15 , 2 , 0 ," $3.00 now","$10 in 180 days"
6666,SetA, 36 ,62176.730,61.801,0.109,  1.046,  0.000,  1.609,   2 , 1 , 1 , 0 ," $10.00 now","$10 in 30 days"
6666,SetA, 37 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 14 , 0 , 0 ,"$10 now"," $3.50 now"
6666,SetA, 38 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   2 , 21 , 0 , 0 ,"$10 in 30 days"," $0.25 now"
6666,SetA, 39 ,62178.730,63.801,0.109,  0.000,  0.812,  1.765,   4 , 19 , 2 , 0 ," $1.00 now","$10 in 180 days"
6666,SetA, 40 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 18 , 0 , 0 ,"$10 now"," $1.50 now"
6666,SetA, 41 ,62180.890,65.957,0.108,  0.000,  1.593,  2.218,   1 , 9 , 2 , 0 ," $6.00 now","$10 in 7 days"
6666,SetA, 42 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 11 , 0 , 0 ," $5.00 now","$10 in 365 days"
6666,SetA, 43 ,62183.500,68.566,-0.001,  0.000,  1.687,  2.249,   2 , 6 , 2 , 0 ,"$10 in 30 days"," $7.50 now"
6666,SetA, 44 ,62186.140,71.207,0.108,  0.671,  0.000,  1.280,   4 , 18 , 1 , 0 ,"$10 in 180 days"," $1.50 now"
6666,SetA, 45 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 12 , 0 , 0 ,"$10 now"," $4.50 now"
6666,SetA, 46 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 22 , 0 , 0 ,"$10 now"," $0.00 now"
6666,SetA, 47 ,62187.810,72.879,0.108,  1.280,  0.000,  1.890,   4 , 7 , 1 , 0 ," $7.00 now","$10 in 180 days"
6666,SetA, 48 ,62190.090,75.160,0.109,  0.000,  0.734,  1.249,   1 , 17 , 2 , 0 ," $2.00 now","$10 in 7 days"
6666,SetA, 49 ,62191.730,76.801,0.109,  1.094,  0.000,  1.953,   4 , 0 , 1 , 0 ," $10.50 now","$10 in 180 days"
6666,SetA, 50 ,62194.070,79.145,0.109,  1.187,  0.000,  1.828,   3 , 14 , 1 , 0 ,"$10 in 90 days"," $3.50 now"
6666,SetA, 51 ,62196.290,81.363,0.109,  0.000,  1.015,  1.468,   1 , 15 , 2 , 0 ," $3.00 now","$10 in 7 days"
6666,SetA, 52 ,62198.150,83.223,0.109,  0.000,  1.016,  1.578,   1 , 3 , 2 , 0 ,"$10 in 7 days"," $9.00 now"
6666,SetA, 53 ,62200.120,85.191,0.109,  0.797,  0.000,  1.375,   3 , 22 , 1 , 0 ,"$10 in 90 days"," $0.00 now"
6666,SetA, 54 ,62201.890,86.957,-0.001,  0.000,  0.593,  1.124,   4 , 16 , 2 , 0 ," $2.50 now","$10 in 180 days"
6666,SetA, 55 ,62203.400,88.473,0.109,  1.563,  0.781,  2.047,   4 , 9 , 1 , 0 ," $6.00 now","$10 in 180 days"
6666,SetA, 56 ,62205.840,90.910,0.109,  1.078,  0.000,  1.562,   4 , 5 , 1 , 0 ," $8.00 now","$10 in 180 days"
6666,SetA, 57 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 7 , 0 , 0 ," $7.00 now","$10 in 365 days"
6666,SetA, 58 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 17 , 0 , 0 ," $2.00 now","$10 in 365 days"
6666,SetA, 59 ,62207.790,92.863,0.109,  1.578,  0.000,  2.297,   4 , 4 , 1 , 0 ," $8.50 now","$10 in 180 days"
