Subject,Set,Trial,TOD,StartTr,RT,LRT,RRT,DRT,Standard,Variable,Choice,Group,LftText,RgtText
8036_1_Y2     12-02-2014    14:43:34,SetA
8036_1_Y2,SetA, 1 ,52730.250,0.000,0.202,  0.000,  9.796,  16.457,   2 , 18 , 2 , 0 ,"$10 in 30 days"," $1.50 now"
8036_1_Y2,SetA, 2 ,52747.100,16.848,-0.001,  7.206,  0.000,  10.233,   1 , 5 , 1 , 0 ," $8.00 now","$10 in 7 days"
8036_1_Y2,SetA, 3 ,52757.720,27.473,0.653,  1.386,  0.000,  5.770,   1 , 11 , 1 , 0 ," $5.00 now","$10 in 7 days"
8036_1_Y2,SetA, 4 ,52763.880,33.633,0.046,  6.084,  0.000,  7.815,   3 , 11 , 1 , 0 ," $5.00 now","$10 in 90 days"
8036_1_Y2,SetA, 5 ,52772.090,41.840,2.104,  4.569,  0.000,  6.145,   1 , 8 , 1 , 0 ," $6.50 now","$10 in 7 days"
8036_1_Y2,SetA, 6 ,52778.630,48.375,0.187,  0.000,  2.745,  4.149,   4 , 18 , 2 , 0 ,"$10 in 180 days"," $1.50 now"
8036_1_Y2,SetA, 7 ,52783.160,52.914,0.515,  3.058,  0.000,  4.555,   4 , 16 , 1 , 0 ," $2.50 now","$10 in 180 days"
8036_1_Y2,SetA, 8 ,52788.110,57.859,0.000,  0.999,  0.000,  2.075,   4 , 2 , 1 , 0 ," $9.50 now","$10 in 180 days"
8036_1_Y2,SetA, 9 ,52790.570,60.324,0.000,  0.000,  1.155,  2.091,   2 , 13 , 2 , 0 ,"$10 in 30 days"," $4.00 now"
8036_1_Y2,SetA, 10 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 21 , 0 , 0 ,"$10 now"," $0.25 now"
8036_1_Y2,SetA, 11 ,52793.050,62.805,0.374,  0.858,  0.000,  2.901,   2 , 8 , 1 , 0 ," $6.50 now","$10 in 30 days"
8036_1_Y2,SetA, 12 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 21 , 0 , 0 ,"$10 in 365 days"," $0.25 now"
8036_1_Y2,SetA, 13 ,52796.350,66.098,0.279,  0.000,  1.059,  1.964,   2 , 3 , 2 , 0 ,"$10 in 30 days"," $9.00 now"
8036_1_Y2,SetA, 14 ,52798.700,68.453,0.311,  0.000,  0.982,  1.840,   1 , 1 , 2 , 0 ,"$10 in 7 days"," $10.00 now"
8036_1_Y2,SetA, 15 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 18 , 0 , 0 ,"$10 in 365 days"," $1.50 now"
8036_1_Y2,SetA, 16 ,52800.930,70.684,0.373,  0.000,  1.044,  1.949,   2 , 17 , 2 , 0 ,"$10 in 30 days"," $2.00 now"
8036_1_Y2,SetA, 17 ,52803.270,73.023,0.000,  1.045,  0.000,  3.088,   3 , 4 , 1 , 0 ," $8.50 now","$10 in 90 days"
8036_1_Y2,SetA, 18 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 4 , 0 , 0 ," $8.50 now","$10 in 365 days"
8036_1_Y2,SetA, 19 ,52806.750,76.500,0.204,  4.557,  0.000,  5.695,   1 , 22 , 1 , 0 ,"$10 in 7 days"," $0.00 now"
8036_1_Y2,SetA, 20 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 22 , 0 , 0 ,"$10 now"," $0.00 now"
8036_1_Y2,SetA, 21 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 7 , 0 , 0 ," $7.00 now","$10 in 365 days"
8036_1_Y2,SetA, 22 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 22 , 0 , 0 ,"$10 in 365 days"," $0.00 now"
8036_1_Y2,SetA, 23 ,52812.840,82.586,0.187,  1.450,  0.000,  2.449,   4 , 4 , 1 , 0 ," $8.50 now","$10 in 180 days"
8036_1_Y2,SetA, 24 ,52815.680,85.426,0.326,  1.325,  0.000,  2.151,   4 , 0 , 1 , 0 ," $10.50 now","$10 in 180 days"
8036_1_Y2,SetA, 25 ,52818.220,87.969,0.201,  0.934,  0.000,  1.902,   4 , 8 , 1 , 0 ," $6.50 now","$10 in 180 days"
8036_1_Y2,SetA, 26 ,52820.510,90.262,0.716,  2.604,  0.000,  3.587,   1 , 12 , 1 , 0 ," $4.50 now","$10 in 7 days"
8036_1_Y2,SetA, 27 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 12 , 0 , 0 ," $4.50 now","$10 in 365 days"
8036_1_Y2,SetA, 28 ,52824.490,94.238,0.952,  0.000,  1.358,  1.997,   3 , 13 , 2 , 0 ,"$10 in 90 days"," $4.00 now"
8036_1_Y2,SetA, 29 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 17 , 0 , 0 ,"$10 now"," $2.00 now"
8036_1_Y2,SetA, 30 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 13 , 0 , 0 ,"$10 now"," $4.00 now"
8036_1_Y2,SetA, 31 ,52826.890,96.641,0.359,  0.000,  0.827,  1.716,   1 , 3 , 2 , 0 ,"$10 in 7 days"," $9.00 now"
8036_1_Y2,SetA, 32 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 15 , 0 , 0 ,"$10 now"," $3.00 now"
8036_1_Y2,SetA, 33 ,52829.000,98.746,0.266,  0.000,  3.558,  5.102,   2 , 20 , 2 , 0 ," $0.50 now","$10 in 30 days"
